drug1;object;drug2;precipitant;certainty;contraindication;dateAnnotated;ddiPkEffect;ddiPkMechanism;effectConcept;homepage;label;numericVal;objectUri;pathway;precaution;precipUri;severity;uri;whoAnnotated;source;ddiType;evidence;evidenceSource;evidenceStatement;researchStatementLabel;researchStatement
http://bio2rdf.org/drugbank:DB01175;escitalopram;http://bio2rdf.org/drugbank:DB00338;omeprazole;None;None;None;None;None;None;None;omeprazole increases the AUC of escitalopram ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations30;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01175;escitalopram;http://bio2rdf.org/drugbank:DB01238;aripiprazole;None;None;None;None;None;None;None;aripiprazole increases the AUC of escitalopram ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations65;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01175;escitalopram;http://bio2rdf.org/drugbank:DB00501;cimetidine;None;None;None;None;None;None;None;cimetidine increases the AUC of escitalopram ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations26;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01104;sertraline;http://bio2rdf.org/drugbank:DB00501;cimetidine;None;None;None;None;None;None;None;cimetidine increases the AUC of sertraline ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations97;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00404;alprazolam;http://bio2rdf.org/drugbank:DB00472;fluoxetine;None;None;None;None;None;None;None;fluoxetine increases the AUC of alprazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations20;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00404;alprazolam;http://bio2rdf.org/drugbank:DB00199;erythromycin;None;None;None;None;None;None;None;erythromycin increases the AUC of alprazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations70;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00404;alprazolam;http://bio2rdf.org/drugbank:DB01167;itraconazole;None;None;None;None;None;None;None;itraconazole increases the AUC of alprazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations62;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00404;alprazolam;http://bio2rdf.org/drugbank:DB01026;ketoconazole;None;None;None;None;None;None;None;ketoconazole increases the AUC of alprazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations67;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00404;alprazolam;http://bio2rdf.org/drugbank:DB01149;nefazodone;None;None;None;None;None;None;None;nefazodone increases the AUC of alprazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations9;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00683;midazolam;http://bio2rdf.org/drugbank:DB00199;erythromycin;None;None;None;None;None;None;None;erythromycin increases the AUC of midazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations55;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00683;midazolam;http://bio2rdf.org/drugbank:DB01167;itraconazole;None;None;None;None;None;None;None;itraconazole increases the AUC of midazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations18;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00683;midazolam;http://bio2rdf.org/drugbank:DB00343;diltiazem;None;None;None;None;None;None;None;diltiazem increases the AUC of midazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations79;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00683;midazolam;http://bio2rdf.org/drugbank:DB01026;ketoconazole;None;None;None;None;None;None;None;ketoconazole increases the AUC of midazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations5;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00683;midazolam;http://bio2rdf.org/drugbank:DB00196;fluconazole;None;None;None;None;None;None;None;fluconazole increases the AUC of midazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations28;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00683;midazolam;http://bio2rdf.org/drugbank:DB01149;nefazodone;None;None;None;None;None;None;None;nefazodone increases the AUC of midazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations45;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00683;midazolam;http://bio2rdf.org/drugbank:DB01211;clarithromycin;None;None;None;None;None;None;None;clarithromycin increases the AUC of midazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations17;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01098;rosuvastatin;http://bio2rdf.org/drugbank:DB01167;itraconazole;None;None;None;None;None;None;None;itraconazole increases the AUC of rosuvastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations61;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01224;quetiapine;http://bio2rdf.org/drugbank:DB00199;erythromycin;None;None;None;None;None;None;None;erythromycin increases the AUC of quetiapine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations77;None;DIKB;None;None;None;None;None;None
